Tarih;Tufe_yil;Tufe_ay
Sub.22;54.44;4.81
Oca.22;48.69;11.10
Ara.21;36.08;13.58
Kas.21;21.31;3.51
Eki.21;19.89;2.39
Eyl.21;19.58;1.25
Agu.21;19.25;1.12
Tem.21;18.95;1.80
Haz.21;17.53;1.94
May.21;16.59;0.89
Nis.21;17.14;1.68
Mar.21;16.19;1.08
Sub.21;15.61;0.91
Oca.21;14.97;1.68
Ara.20;14.60;1.25
Kas.20;14.03;2.30
Eki.20;11.89;2.13
Eyl.20;11.75;0.97
Agu.20;11.77;0.86
Tem.20;11.76;0.58
Haz.20;12.62;1.13
May.20;11.39;1.36
Nis.20;10.94;0.85
Mar.20;11.86;0.57
Sub.20;12.37;0.35
Oca.20;12.15;1.35
Ara.19;11.84;0.74
Kas.19;10.56;0.38
Eki.19;8.55;2
Eyl.19;9.26;0.99
Agu.19;15.01;0.86
Tem.19;16.65;1.36
Haz.19;15.72;0.03
May.19;18.71;0.95
Nis.19;19.50;1.69
Mar.19;19.71;1.03
Sub.19;19.67;0.16
Oca.19;20.35;1.06
Ara.18;20.30;-0.40
Kas.18;21.62;-1.44
Eki.18;25.24;2.67
Eyl.18;24.52;6.30
Agu.18;17.90;2.30
Tem.18;15.85;0.55
Haz.18;15.39;2.61
May.18;12.15;1.62
Nis.18;10.85;1.87
Mar.18;10.23;0.99
Sub.18;10.26;0.73
Oca.18;10.35;1.02
Ara.17;11.92;0.69
Kas.17;12.98;1.49
Eki.17;11.90;2.08
Eyl.17;11.20;0.65
Agu.17;10.68;0.52
Tem.17;9.79;0.15
Haz.17;10.90;-0.27
May.17;11.72;0.45
Nis.17;11.87;1.31
Mar.17;11.29;1.02
Sub.17;10.13;0.81
Oca.17;9.22;2.46
Ara.16;8.53;1.64
Kas.16;7.00;0.52
Eki.16;7.16;1.44
Eyl.16;7.28;0.18
Agu.16;8.05;-0.29
Tem.16;8.79;1.16
Haz.16;7.64;0.47
May.16;6.58;0.58
Nis.16;6.57;0.78
Mar.16;7.46;-0.04
Sub.16;8.78;-0.02
Oca.16;9.58;1.82
Ara.15;8.81;0.21
Kas.15;8.10;0.67
Eki.15;7.58;1.55
Eyl.15;7.95;0.89
Agu.15;7.14;0.40
Tem.15;6.81;0.09
Haz.15;7.20;-0.51
May.15;8.09;0.56
Nis.15;7.91;1.63
Mar.15;7.61;1.19
Sub.15;7.55;0.71
Oca.15;7.24;1.10
Ara.14;8.17;-0.44
Kas.14;9.15;0.18
Eki.14;8.96;1.90
Eyl.14;8.86;0.14
Agu.14;9.54;0.09
Tem.14;9.32;0.45
Haz.14;9.16;0.31
May.14;9.66;0.4
Nis.14;9.38;1.34
Mar.14;8.39;1.13
Sub.14;7.89;0.43
Oca.14;7.75;1.98
Ara.13;7.4;0.46
Kas.13;7.32;0.01
Eki.13;7.71;1.8
Eyl.13;7.88;0.77
Agu.13;8.17;-0.1
Tem.13;8.88;0.31
Haz.13;8.3;0.76
May.13;6.51;0.15
Nis.13;6.13;0.42
Mar.13;7.29;0.66
Sub.13;7.03;0.3
Oca.13;7.31;1.65
Ara.12;6.16;0.38
Kas.12;6.37;0.38
Eki.12;7.8;1.96
Eyl.12;9.19;1.03
Agu.12;8.88;0.56
Tem.12;9.07;-0.23
Haz.12;8.87;-0.9
May.12;8.28;-0.21
Nis.12;11.14;1.52
Mar.12;10.43;0.41
Sub.12;10.43;0.56
Oca.12;10.61;0.56
Ara.11;10.45;0.58
Kas.11;9.48;1.73
Eki.11;7.66;3.27
Eyl.11;6.15;0.75
Agu.11;6.65;0.73
Tem.11;6.31;-0.41
Haz.11;6.24;-1.43
May.11;7.17;2.42
Nis.11;4.26;0.87
Mar.11;3.99;0.42
Sub.11;4.16;0.73
Oca.11;4.9;0.41
Ara.10;6.4;-0.3
Kas.10;7.29;0.03
Eki.10;8.62;1.83
Eyl.10;9.24;1.23
Agu.10;8.33;0.4
Tem.10;7.58;-0.48
Haz.10;8.37;-0.56
May.10;9.1;-0.36
Nis.10;10.19;0.6
Mar.10;9.56;0.58
Sub.10;10.13;1.45
Oca.10;8.19;1.85
Ara.09;6.53;0.53
Kas.09;5.53;1.27
Eki.09;5.08;2.41
Eyl.09;5.27;0.39
Agu.09;5.33;-0.3
Tem.09;5.39;0.25
Haz.09;5.73;0.11
May.09;5.24;0.64
Nis.09;6.13;0.02
Mar.09;7.89;1.1
Sub.09;7.73;-0.34
Oca.09;9.5;0.29
Ara.08;10.06;-0.41
Kas.08;10.76;0.83
Eki.08;11.99;2.6
Eyl.08;11.13;0.45
Agu.08;11.77;-0.24
Tem.08;12.06;0.58
Haz.08;10.61;-0.36
May.08;10.74;1.49
Nis.08;9.66;1.68
Mar.08;9.15;0.96
Sub.08;9.1;1.29
Oca.08;8.17;0.8
Ara.07;8.39;0.22
Kas.07;8.4;1.95
Eki.07;7.7;1.81
Eyl.07;7.12;1.03
Agu.07;7.39;0.02
Tem.07;6.9;-0.73
Haz.07;8.6;-0.24
May.07;9.23;0.5
Nis.07;10.72;1.21
Mar.07;10.86;0.92
Sub.07;10.16;0.43
Oca.07;9.93;1
Ara.06;9.65;0.23
Kas.06;9.86;1.29
Eki.06;9.98;1.27
Eyl.06;10.55;1.29
Agu.06;10.26;-0.44
Tem.06;11.69;0.85
Haz.06;10.12;0.34
May.06;9.86;1.88
Nis.06;8.83;1.34
Mar.06;8.16;0.27
Sub.06;8.15;0.22
Oca.06;7.93;0.75
Ara.05;7.72;0.42
Kas.05;7.61;1.4
Eki.05;7.52;1.79
Eyl.05;7.99;1.02
Agu.05;7.91;0.85
Tem.05;7.82;-0.57
Haz.05;8.95;0.1
May.05;8.7;0.92
Nis.05;8.18;0.71
Mar.05;7.94;0.26
Sub.05;8.69;0.02
Oca.05;9.24;0.55
